epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.47,1.53134,1.72002,1.16506,0.3978,0.33887,0.37387,0.19046,1.59096,1.31926,1.34287,0.00332668,0.00332668,0.00332668
2,434.617,1.39539,1.21476,1.11054,0.94018,0.3376,0.39238,0.2091,1.50064,1.23665,1.30371,0.00663804,0.00663804,0.00663804
3,587.282,1.40153,1.13958,1.11341,0.90188,0.34847,0.37785,0.18832,1.56736,1.34875,1.34921,0.00992739,0.00992739,0.00992739
4,740.075,1.38555,1.06142,1.11063,0.38258,0.31522,0.38263,0.18618,1.58305,1.27797,1.33654,0.009901,0.009901,0.009901
5,888.506,1.31911,0.97197,1.09339,0.42184,0.34143,0.40032,0.21341,1.50411,1.1242,1.32861,0.009868,0.009868,0.009868
6,1036.58,1.27492,0.91804,1.07366,0.45202,0.46781,0.46805,0.25291,1.41056,1.00892,1.25563,0.009835,0.009835,0.009835
7,1179.19,1.24037,0.87185,1.05961,0.57531,0.42386,0.47769,0.25098,1.38172,1.03901,1.24755,0.009802,0.009802,0.009802
8,1329.12,1.2047,0.83838,1.04803,0.50589,0.44706,0.4786,0.26286,1.38707,0.92941,1.26264,0.009769,0.009769,0.009769
9,1480.11,1.18579,0.81176,1.03663,0.50914,0.50993,0.50917,0.26636,1.36959,1.02447,1.24337,0.009736,0.009736,0.009736
10,1625.2,1.16013,0.79026,1.03088,0.51733,0.46523,0.49227,0.27217,1.32191,0.8982,1.21024,0.009703,0.009703,0.009703
11,1770.56,1.14473,0.77244,1.02313,0.84231,0.38986,0.51298,0.28621,1.2738,0.91032,1.21101,0.00967,0.00967,0.00967
12,1912.15,1.12594,0.75522,1.01881,0.40713,0.49291,0.50331,0.28414,1.31211,0.83349,1.21797,0.009637,0.009637,0.009637
13,2050.24,1.11,0.74084,1.01091,0.5496,0.55343,0.56816,0.31638,1.23602,0.80038,1.17545,0.009604,0.009604,0.009604
14,2192.21,1.09849,0.7304,1.00475,0.57671,0.50471,0.54261,0.29692,1.31496,0.82002,1.17666,0.009571,0.009571,0.009571
15,2338.44,1.08044,0.71454,1.00205,0.50041,0.51384,0.56466,0.32016,1.19868,0.76021,1.14538,0.009538,0.009538,0.009538
16,2484.54,1.06713,0.69995,0.99752,0.94849,0.35806,0.47921,0.28464,1.2682,0.82569,1.16417,0.009505,0.009505,0.009505
17,2624.18,1.05913,0.69472,0.9956,0.66016,0.57884,0.5949,0.34089,1.17744,0.71495,1.15781,0.009472,0.009472,0.009472
18,2764.29,1.05,0.68441,0.9907,0.6862,0.56075,0.62161,0.37606,1.17588,0.73932,1.10187,0.009439,0.009439,0.009439
19,2940.26,1.03888,0.67447,0.9859,0.60379,0.54459,0.58898,0.34575,1.15228,0.72431,1.12642,0.009406,0.009406,0.009406
20,3123.26,1.03491,0.66952,0.98429,0.62195,0.59468,0.62345,0.3775,1.15116,0.68829,1.11766,0.009373,0.009373,0.009373
21,3265,1.01913,0.66029,0.97878,0.62081,0.62144,0.59753,0.3664,1.11635,0.70722,1.09463,0.00934,0.00934,0.00934
22,3405.06,1.01491,0.65343,0.97508,0.70415,0.55436,0.6257,0.37936,1.12794,0.74493,1.09489,0.009307,0.009307,0.009307
23,3541.38,1.00855,0.6504,0.97577,0.69121,0.61603,0.66291,0.40364,1.14234,0.74089,1.12102,0.009274,0.009274,0.009274
24,3679.83,1.00572,0.64736,0.97401,0.71964,0.59813,0.65126,0.42081,1.07321,0.66917,1.08233,0.009241,0.009241,0.009241
25,3816.74,0.99743,0.64069,0.97204,0.70054,0.57723,0.66378,0.4296,1.07115,0.67864,1.07209,0.009208,0.009208,0.009208
26,3950.53,0.99151,0.63257,0.96878,0.81396,0.60516,0.68624,0.43786,1.06518,0.67893,1.0662,0.009175,0.009175,0.009175
27,4081.15,0.98672,0.63214,0.96536,0.65724,0.59928,0.65455,0.38873,1.10843,0.69331,1.09146,0.009142,0.009142,0.009142
28,4206.44,0.97661,0.62424,0.96258,0.81351,0.58817,0.66825,0.40107,1.06288,0.70771,1.06619,0.009109,0.009109,0.009109
29,4335.51,0.97303,0.61896,0.95975,0.66832,0.61954,0.64274,0.40654,1.06617,0.65528,1.0648,0.009076,0.009076,0.009076
30,4465.77,0.97204,0.62111,0.96278,0.73621,0.58965,0.66003,0.41485,1.04291,0.64668,1.05645,0.009043,0.009043,0.009043
31,4597.36,0.96643,0.61352,0.95725,0.79068,0.59891,0.68068,0.42855,1.05376,0.61304,1.06615,0.00901,0.00901,0.00901
32,4725.66,0.96291,0.61161,0.95932,0.76207,0.5769,0.68207,0.42962,1.04596,0.6394,1.06345,0.008977,0.008977,0.008977
33,4852.03,0.95362,0.60649,0.95465,0.73304,0.59701,0.65442,0.42171,1.02066,0.63902,1.05738,0.008944,0.008944,0.008944
34,4978.33,0.95093,0.60331,0.95366,0.78275,0.59976,0.69606,0.43097,1.07227,0.64081,1.07608,0.008911,0.008911,0.008911
35,5103.19,0.94152,0.59817,0.95142,0.74037,0.62746,0.695,0.44619,1.03326,0.62076,1.06039,0.008878,0.008878,0.008878
36,5233.14,0.95097,0.60108,0.95439,0.7037,0.68503,0.72135,0.46048,0.99655,0.62382,1.0435,0.008845,0.008845,0.008845
37,5361.79,0.93778,0.59442,0.94834,0.86459,0.59988,0.72479,0.48504,0.96684,0.59764,1.03565,0.008812,0.008812,0.008812
38,5498.92,0.93303,0.59306,0.94582,0.83135,0.59391,0.71359,0.46317,1.00002,0.60447,1.04496,0.008779,0.008779,0.008779
39,5640.15,0.9316,0.58902,0.94577,0.84366,0.637,0.71757,0.46172,0.99246,0.59825,1.03512,0.008746,0.008746,0.008746
40,5775.5,0.9303,0.58392,0.9461,0.82096,0.61229,0.70944,0.44262,1.0079,0.60543,1.03931,0.008713,0.008713,0.008713
